iter	Passed	Remaining
0	143	14242
1	145	7105
2	146	4724
3	147	3532
4	148	2816
5	149	2338
6	150	1996
7	151	1740
8	152	1540
9	153	1378
10	154	1248
11	155	1139
12	156	1046
13	157	966
14	158	897
15	159	837
16	160	783
17	161	735
18	162	693
19	163	654
20	164	619
21	165	587
22	166	558
23	167	531
24	169	507
25	170	484
26	171	463
27	172	443
28	173	424
29	174	407
30	175	391
31	176	375
32	177	361
33	178	347
34	180	334
35	181	322
36	182	310
37	183	299
38	184	288
39	185	278
40	186	268
41	187	259
42	188	250
43	189	241
44	190	233
45	191	225
46	192	217
47	193	210
48	194	202
49	195	195
50	196	189
51	197	182
52	198	176
53	200	170
54	201	164
55	202	158
56	203	153
57	204	147
58	205	142
59	206	137
60	207	132
61	208	127
62	209	122
63	210	118
64	211	113
65	212	109
66	213	105
67	214	100
68	215	96
69	216	92
70	217	88
71	218	85
72	219	81
73	220	77
74	221	73
75	222	70
76	223	66
77	224	63
78	225	60
79	226	56
80	227	53
81	228	50
82	229	47
83	230	43
84	231	40
85	232	37
86	234	34
87	235	32
88	236	29
89	237	26
90	238	23
91	239	20
92	240	18
93	241	15
94	242	12
95	243	10
96	244	7
97	245	5
98	246	2
99	247	0
